idx,Korean,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
39,D등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain D grade	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,D評価を獲得できるチケットの確率：[--]35% [-] 30% [通常] 20% [+] 10% [++] 5%,获得D级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得D級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения оценки D: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtenir la note D : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación D Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận vé hạng D: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
40,C등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain Grade C	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Cランク獲得確率：[--]35% [-]30% [通常]20% [+]10% [++]5%,获得C级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得C級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения билета на оценку C: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtenir la note C : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación C Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận vé hạng C: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
41,B등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain Grade B	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,グレードBを獲得できるチケットの確率：[--]35% [-] 30% [通常] 20% [+] 10% [++] 5%,获得B级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得B級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения билета на оценку B: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtenir un billet de niveau B : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación B Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận vé hạng B: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
42,A등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain Grade A	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Aランク獲得確率：[--]35% [-]30% [通常]20% [+]10% [++]5%,获得A级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得A級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения билета на оценку А: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtenir un billet de niveau A : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación A Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận vé hạng A: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
43,S등급을 획득할 수 있는 티켓\n확률: <color=red>모두 동일 확률</color>,Ticket to obtain S-rank	Probability: <color=red>All equal probability</color>,Sランク獲得確率：<color=red>すべて同じ確率</color>,获得S级评价的概率：<color=red>所有概率均等</color>,獲得S級評價的機率：<color=red>所有機率均等</color>,Билет для получения вероятности S-ранга: <color=red>Все вероятности равны</color>,Billet pour obtenir le rang S Probabilité : <color=red>Tous ont la même probabilité</color>,Boleto para obtener rango S Probabilidad: <color=red>Todas las probabilidades son iguales</color>,Vé để đạt hạng S: <color=red>Xác suất như nhau</color>
44,"(이벤트)뽑기를 할때 사용하는 코인, 매일 2개씩 충전","(Event) Coins used for gacha pulls, 2 replenished daily",（イベント）ガチャに使用できるコインは毎日2枚補充されます。,（活动）扭蛋币，每日补充2枚,（活動）扭蛋幣，每日補充2枚,"(Событие) Монеты используются для розыгрышей в гача-системе, 2 пополняются ежедневно.","(Événement) Pièces utilisées pour les tirages gacha, 2 pièces supplémentaires chaque jour.","(Evento) Monedas utilizadas para tiradas de gacha, 2 repuestas diariamente","(Sự kiện) Xu dùng để quay gacha, 2 xu được bổ sung mỗi ngày."
45,"(이벤트)마블을 할때 사용하는 코인, 매일 2개씩 충전",(Event) Recharge 2 coins daily for playing Marvel,（イベント）マーベルゲームをプレイすると毎日2コインがチャージされます,（活动）每日充值2金币即可畅玩漫威游戏,（活動）每日儲值2金幣即可暢玩漫威遊戲,(Событие) Ежедневно пополняйте счет на 2 монеты для игры в Marvel.,(Événement) Rechargez 2 pièces par jour en jouant à Marvel,(Evento) Recarga 2 monedas diariamente por jugar Marvel,(Sự kiện) Nạp 2 xu mỗi ngày khi chơi Marvel
46,화려한 특수무기를 가지고 있는 상자\n<color=red>확률표 참고 [가방->특수->느낌표]</color>,Box containing flashy special weapons	<color=red>Refer to the probability table [Bag->Special->Exclamation Mark]</color>,派手な特殊武器が入った箱 <color=red>確率表を参照してください [バッグ->特殊->感嘆符]</color>,装有炫酷特殊武器的箱子 <color=red>请参考概率表 [袋子->特殊->感叹号]</color>,裝有酷炫特殊武器的箱子 <color=red>請參考機率表 [袋子->特殊->感嘆號]</color>,Коробка с эффектным специальным оружием <color=red>См. таблицу вероятностей [Мешок->Специальное->Восклицательный знак]</color>,Boîte contenant des armes spéciales tape-à-l'œil <color=red>Consultez le tableau des probabilités [Sac->Spécial->Point d'exclamation]</color>,Caja que contiene armas especiales llamativas <color=red>Consulta la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>,Hộp chứa vũ khí đặc biệt bắt mắt <color=red>Tham khảo bảng xác suất [Túi->Đặc biệt->Dấu chấm than]</color>
47,화려한 오라를 가지고 있는 상자\n<color=red>확률표 참고 [가방->특수->느낌표]</color>,Box with a flashy aura	<color=red>Refer to the probability table [Bag->Special->Exclamation Mark]</color>,派手なオーラを放つ箱 <color=red>確率表を参照してください [バッグ->スペシャル->感嘆符]</color>,带有炫目光环的盒子 <color=red>请参考概率表 [袋子->特殊->感叹号]</color>,帶有炫目光環的盒子 <color=red>請參考機率表 [袋子->特殊->感嘆號]</color>,Коробка с ослепительной аурой <color=red>Обратитесь к таблице вероятностей [Мешок->Специальный->Восклицательный знак]</color>,Boîte à l'aura flamboyante <color=red>Consultez le tableau des probabilités [Sac->Spécial->Point d'exclamation]</color>,Caja con un aura llamativa <color=red>Consulta la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>,Hộp có hào quang rực rỡ <color=red>Tham khảo bảng xác suất [Túi->Đặc biệt->Dấu chấm than]</color>
48,광고없이 보상을 받을수 있는 광고제거,Ad removal where you can receive rewards without ads,広告なしで報酬を受け取れる広告削除サービス,去除广告，即可在无广告的情况下获得奖励,去除廣告，即可在無廣告的情況下獲得獎勵,"Удаление рекламы, где вы можете получать вознаграждения без рекламы.",Suppression des publicités : recevez des récompenses sans publicité.,Eliminación de anuncios donde puedes recibir recompensas sin anuncios,Loại bỏ quảng cáo để bạn có thể nhận phần thưởng mà không cần xem quảng cáo.
49,1등급 제작석,Grade 1 Crafting Stone,グレード1のクラフトストーン,一级工艺石,一級工藝石,Камень для крафта 1-го уровня,Pierre à modeler de première qualité,Piedra de artesanía de grado 1,Đá chế tác cấp 1
50,2등급 제작석,Grade 2 Crafting Stone,グレード2のクラフトストーン,二级工艺石,二級工藝石,Камень для крафта 2-го уровня,Pierre à modeler de niveau 2,Piedra de artesanía de grado 2,Đá chế tác cấp 2
51,3등급 제작석,Grade 3 crafting stone,グレード3の工芸用石,三级工艺石,三級工藝石,камень для крафта 3-го уровня,pierre à modeler de niveau 3,Piedra artesanal de grado 3,Đá chế tạo cấp 3
52,4등급 제작석,Grade 4 Crafting Stone,グレード4のクラフトストーン,四级工艺石,四級工藝石,Камень для крафта 4-го уровня,Pierre à modeler de niveau 4,Piedra de artesanía de grado 4,Đá chế tác cấp 4
53,5등급 제작석,Grade 5 Crafting Stone,グレード5のクラフトストーン,5级工艺石,5級工藝石,Камень для крафта 5-го уровня,Pierre à modeler de niveau 5,Piedra de artesanía de grado 5,Đá chế tác cấp 5
54,6등급 제작석,Grade 6 crafting stone,グレード6の工芸用石,6级工艺石,6級工藝石,камень для крафта 6-го уровня,pierre à modeler de niveau 6,Piedra de artesanía de grado 6,Đá chế tác cấp 6
55,7등급 제작석,Grade 7 Crafting Stone,7年生向けクラフトストーン,7级工艺石,7級工藝石,Камень для крафта 7-го уровня,Pierre à modeler de 7e année,Piedra de artesanía de grado 7,Đá chế tác cấp 7
56,8등급 제작석,Grade 8 Crafting Stone,グレード8のクラフトストーン,8级工艺石,8級工藝石,Камень для крафта 8-го уровня,Pierre à modeler de niveau 8,Piedra de artesanía de grado 8,Đá chế tác cấp 8
57,9등급 제작석,Grade 9 Crafting Stone,グレード9 クラフトストーン,9级工艺石,9級工藝石,Камень для крафта 9-го уровня,Pierre à modeler de niveau 9,Piedra de artesanía de grado 9,Đá chế tác lớp 9
58,10등급 제작석,Grade 10 Crafting Stone,グレード10 クラフトストーン,10级工艺石,10級工藝石,Камень для крафта 10-го уровня,Pierre à modeler de niveau 10,Piedra de manualidades de grado 10,Đá chế tác cấp 10
59,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>재침공</color>시 사용하는 엔진","Up to 5 charged daily, obtainable from the exchange shop, and used during <color=yellow>re-invasion</color>",1日最大5回までチャージ可能。交換ショップで購入でき、<color=yellow>再侵攻</color>時に使用できます。,每天最多可充能 5 次，可在兑换商店获得，并在<color=yellow>再次入侵</color>期间使用。,每天最多可充能 5 次，可在兌換商店獲得，並在<color=yellow>再次入侵</color>期間使用。,"До 5 зарядных устройств в день, которые можно приобрести в обменном магазине и использовать во время <color=yellow>повторного вторжения</color>","Jusqu'à 5 crédits journaliers, disponibles à la boutique d'échange et utilisables lors de la <color=yellow>réinvasion</color>","Hasta 5 cargas diarias, obtenibles en la tienda de intercambio y utilizadas durante la <color=yellow>reinvasión</color>","Tối đa 5 lần sạc mỗi ngày, có thể nhận được từ cửa hàng đổi thưởng và sử dụng trong <color=yellow>cuộc tái xâm lược</color>"
60, 교환소및 상점에서 획득 가능하고 <color=yellow>재침공</color>시 사용하는 고급엔진,Advanced engine that can be obtained from exchanges and shops and used during <color=yellow>re-invasion</color>,取引所やショップで入手でき、<color=yellow>再侵攻</color>の際に使用できる高度なエンジン,可通过交易所和商店获得的高级引擎，可在<color=yellow>再次入侵</color>期间使用。,可透過交易所和商店獲得的高級引擎，可在<color=yellow>再次入侵</color>期間使用。,"Усовершенствованный двигатель, который можно приобрести на биржах и в магазинах и использовать во время <color=yellow>повторного вторжения</color>",Moteur avancé pouvant être obtenu dans les bourses et les boutiques et utilisé lors de la <color=yellow>réinvasion</color>,Motor avanzado que se puede obtener en intercambios y tiendas y utilizar durante la <color=yellow>reinvasión</color>,"Động cơ tiên tiến có thể mua được từ các sàn giao dịch và cửa hàng, và được sử dụng trong <color=yellow>cuộc tái xâm lược</color>"
61,광고를 보고 보상을 획득합니다.,Watch ads to earn rewards.,広告を視聴して報酬を獲得しましょう。,观看广告即可获得奖励。,觀看廣告即可獲得獎勵。,"Смотрите рекламу, чтобы получать награды.",Regardez des publicités pour gagner des récompenses.,Mira anuncios para ganar recompensas.,Xem quảng cáo để nhận phần thưởng.
