index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
220,트리플링,Triple ring,トリプルリング,三环,三環,Тройное кольцо,Triple anneau,Anillo triple,Vòng ba
221,플래티넘,Platinum,白金,铂,鉑,Платина,Platine,Platino,Bạch kim
222,골드셀러링,Gold Selling,金販売,黄金销售,黃金銷售,Продажа золота,Vente d'or,Venta de oro,Bán vàng
223,레전드링,Legend Ring,レジェンドリング,传奇戒指,傳奇戒指,Кольцо Легенды,Anneau de légende,Anillo de leyenda,Chiếc nhẫn huyền thoại
224,불멸의링,Immortal Ring,不滅の指輪,不朽之戒,不朽之戒,Кольцо Бессмертия,Anneau immortel,Anillo inmortal,Nhẫn Bất Tử
225,타이탄링,Titan Ring,タイタンリング,泰坦戒指,泰坦戒指,Кольцо Титана,Anneau de Titan,Anillo de Titán,Nhẫn Titan
226,파워젬,Power Gem,パワージェム,力量宝石,力量寶石,Силовой Камень,Gemme de puissance,Gema de poder,Viên ngọc sức mạnh
227,은하계링,Galaxy ring,銀河リング,星系环,星系環,Кольцо Галактики,Anneau galactique,Anillo galáctico,Vòng thiên hà
228,절대매력,Absolute charm,絶対的な魅力,绝对的魅力,絕對的魅力,Абсолютное очарование,Un charme absolu,Encanto absoluto,Tuyệt đối quyến rũ
229,운명의링,Ring of Destiny,運命の指輪,命运之环,命運之環,Кольцо Судьбы,Anneau du Destin,Anillo del Destino,Chiếc Nhẫn Định Mệnh
230,심판보석,Judgment bail,判決保釈,判决保释,判決保釋,Залог по решению суда,cautionnement par jugement,Fianza judicial,Bảo lãnh theo phán quyết
231,태초의링,The Ring of the Beginning,始まりの指輪,起始之环,起始之環,Кольцо Начала,L'Anneau du Commencement,El Anillo del Comienzo,Chiếc Nhẫn Khởi Nguyên
232,제왕링,Emperor Ring,皇帝の指輪,皇帝戒指,皇帝戒指,Кольцо Императора,Anneau de l'Empereur,Anillo del Emperador,Nhẫn Hoàng đế
233,-,-,-,-,-,-,-,-,-
234,-,-,-,-,-,-,-,-,-
235,-,-,-,-,-,-,-,-,-
236,-,-,-,-,-,-,-,-,-
237,-,-,-,-,-,-,-,-,-
238,-,-,-,-,-,-,-,-,-
239,-,-,-,-,-,-,-,-,-
240,-,-,-,-,-,-,-,-,-
241,훈련용치마,training skirt,トレーニングスカート,训练裙,訓練裙,тренировочная юбка,jupe d'entraînement,falda de entrenamiento,váy tập luyện
242,데뷔스커트,Debut skirt,デビュースカート,首秀裙,首秀裙,дебютная юбка,jupe de début,Falda de debut,Váy ra mắt
243,체크치마,plaid skirt,チェック柄スカート,格子裙,格子裙,клетчатая юбка,jupe à carreaux,falda a cuadros,váy kẻ caro
244,주니어치마,junior skirt,ジュニアスカート,少女裙,少女裙,юбка для младшей,jupe junior,falda juvenil,váy thiếu niên
245,루키스커트,Rookie skirt,ルーキースカート,新手裙,新手裙,Юбка новичка,jupe de recrue,Falda de principiante,Váy tân binh
246,인기치마,popular skirt,人気のスカート,流行裙,流行裙,популярная юбка,jupe populaire,falda popular,váy phổ biến
247,스포트치마,Sport skirt,スポーツスカート,运动裙,運動裙,Спортивная юбка,jupe de sport,Falda deportiva,Váy thể thao
248,백업치마,backup skirt,バックスカート,备用裙,備用裙,запасная юбка,jupe de secours,falda de respaldo,váy dự phòng
249,메인치마,Main skirt,メインスカート,主裙,主裙,Основная юбка,Jupe principale,Falda principal,Váy chính
250,센터치마,center skirt,センタースカート,中裙,中裙,центральная юбка,jupe centrale,falda central,váy giữa
251,베스트치마,Best skirt,最高のスカート,最佳裙装,最佳裙裝,Лучшая юбка,Meilleure jupe,La mejor falda,Chiếc váy đẹp nhất
252,유닛치마,Unit skirt,ユニットスカート,单元裙,單元裙,Юбка-блок,Jupe unitaire,Falda de unidad,Váy liền thân
253,청순치마,innocent skirt,イノセントスカート,无辜的裙子,無辜的裙子,невинная юбка,jupe innocente,falda inocente,váy ngây thơ
254,시크스커트,Chic skirt,シックなスカート,时尚半身裙,時尚半身裙,Шикарная юбка,Jupe chic,Falda elegante,Váy thanh lịch
255,힙합스커트,hip-hop skirt,ヒップホップスカート,嘻哈裙,嘻哈裙,юбка в стиле хип-хоп,jupe hip-hop,falda hip hop,váy hip-hop
256,큐티치마,Cutie skirt,キュートなスカート,可爱裙子,可愛裙子,Милая юбка,Jupe mignonne,Falda monísima,Váy dễ thương
257,레이어드치,Layered,重ね合わせ,分层,分層,Многослойный,Couché,En capas,Nhiều lớp
258,미스틱스커,Mysticker,マイステッカー,我的贴纸,我的貼紙,Мой стикер,Mon autocollant,Mi pegatina,Nhãn dán của tôi
259,특수치마,special skirt,特別なスカート,特殊裙子,特殊裙子,особая юбка,jupe spéciale,falda especial,váy đặc biệt
260,유니크치마,Unique skirt,ユニークなスカート,独特的裙子,獨特的裙子,Уникальная юбка,Jupe unique,Falda única,Váy độc đáo
261,카리스마치마,Charisma skirt,カリスマスカート,魅力裙,魅力裙,юбка Харизма,Jupe Charisma,Falda carismática,Váy quyến rũ
262,블랙스커트,black skirt,黒いスカート,黑色裙子,黑色裙子,черная юбка,jupe noire,falda negra,váy đen
263,레드스커트,red skirt,赤いスカート,红色裙子,紅色裙子,красная юбка,jupe rouge,falda roja,váy đỏ
264,라운드치마,round skirt,ラウンドスカート,圆裙,圓裙,круглая юбка,jupe ronde,falda redonda,váy tròn
265,솔로스커트,Solo skirt,ソロスカート,单人裙,單人裙,Юбка Solo,Jupe Solo,Falda sola,Váy đơn
266,월드스커트,World Skirt,ワールドスカート,世界裙,世界裙,Мировая юбка,Jupe du monde,Falda del mundo,Váy Thế Giới
267,슈퍼스커트,Superskirt,スーパースカート,超短裙,超短裙,Суперюбка,Superjupe,Superfalda,Váy siêu ngắn
268,트리플치마,Triple skirt,トリプルスカート,三层裙,三層裙,Тройная юбка,Jupe triple,Falda triple,Váy ba lớp
269,플래치마,Fletchima,フレッチマ,弗莱奇玛,弗萊奇瑪,Флетчима,Fletchima,Fletchima,Fletchima
270,밀리언치마,Million Skirt,ミリオンスカート,百万裙,百萬裙,Миллион юбок,Million de jupes,Falda de un millón,Váy triệu
271,레전드치마,Legend skirt,伝説のスカート,传奇裙,傳奇裙,Легендарная юбка,Jupe Légende,Falda legendaria,Váy huyền thoại
272,불멸치마,Immortal Skirt,不滅のスカート,不朽裙摆,不朽裙擺,Бессмертная юбка,Jupe immortelle,Falda inmortal,Váy Bất Tử
273,타이탄치마,Titan skirt,タイタンスカート,泰坦裙,泰坦裙,юбка Титана,jupe Titan,Falda Titán,Váy Titan
274,파워치마,Power skirt,パワースカート,强力裙,強力裙,юбка силы,jupe fourre-tout,Falda de poder,Váy quyền lực
275,은하계치마,Galaxy skirt,ギャラクシースカート,星空裙,星空裙,юбка «Галактика»,Jupe galaxie,Falda galaxia,váy thiên hà
276,절대치마,absolute skirt,絶対スカート,绝对裙,絕對裙,абсолютная юбка,jupe absolue,falda absoluta,váy tuyệt đối
277,운명의치마,Skirt of Fate,運命のスカート,命运之裙,命運之裙,Юбка Судьбы,Jupe du destin,Falda del destino,Váy của Số phận
278,심판치마,referee skirt,審判のスカート,裁判裙,裁判裙,юбка судьи,jupe d'arbitre,falda de árbitro,váy trọng tài
279,태초치마,Primordial skirt,原始的なスカート,原始裙摆,原始裙擺,Первобытная юбка,Jupe primordiale,falda primordial,váy nguyên thủy
280,제왕치마,Emperor's skirt,皇帝のスカート,皇帝的裙子,皇帝的裙子,юбка императора,jupe de l'empereur,Falda del emperador,Váy của Hoàng đế
281,-,-,-,-,-,-,-,-,-
282,-,-,-,-,-,-,-,-,-
283,-,-,-,-,-,-,-,-,-
284,-,-,-,-,-,-,-,-,-
285,-,-,-,-,-,-,-,-,-
286,-,-,-,-,-,-,-,-,-
287,-,-,-,-,-,-,-,-,-
288,-,-,-,-,-,-,-,-,-
289,연습용장갑,Practice gloves,練習用グローブ,练习手套,練習手套,тренировочные перчатки,Gants d'entraînement,guantes de práctica,găng tay tập luyện
290,데뷔장갑,Debut gloves,デビューグローブ,首秀手套,首秀手套,Перчатки дебюта,Gants de début,Guantes de debut,Găng tay ra mắt
291,안무장갑,Choreography gloves,振り付け用手袋,舞蹈手套,舞蹈手套,перчатки для хореографии,Gants de chorégraphie,Guantes de coreografía,Găng tay biểu diễn
292,보조장갑,auxiliary gloves,補助手袋,辅助手套,輔助手套,вспомогательные перчатки,gants auxiliaires,guantes auxiliares,găng tay phụ
293,루키장갑,Rookie Gloves,ルーキーグローブ,新秀手套,新秀手套,Перчатки новичка,Gants de recrue,Guantes de novato,Găng tay tân binh
294,액션장갑,Action gloves,アクショングローブ,动作手套,動作手套,Перчатки для боевых действий,Gants d'action,Guantes de acción,Găng tay hành động
295,스포트장갑,sports gloves,スポーツグローブ,运动手套,運動手套,спортивные перчатки,gants de sport,guantes deportivos,găng tay thể thao
296,핸드사인,Hand sign,手信号,手势,手勢,жест рукой,signe de la main,señal de mano,Dấu hiệu bằng tay
297,메인댄스장,Main dance hall,メインダンスホール,主舞厅,主舞廳,Главный танцевальный зал,Salle de bal principale,Salón de baile principal,Sảnh khiêu vũ chính
298,센터장갑,Center gloves,センターグローブ,中心手套,中心手套,Центральные перчатки,Gants centraux,Guantes centrales,Găng tay trung tâm
299,베스트장갑,Best gloves,最高のグローブ,最好的手套,最好的手套,Лучшие перчатки,Les meilleurs gants,Los mejores guantes,Găng tay tốt nhất
300,유닛장갑,Unit Armor,ユニット装甲,单位护甲,單位護甲,Броня подразделения,Armure d'unité,Armadura de unidad,Bộ giáp đơn vị
301,골드장갑,Gold Gloves,ゴールドグローブ,金手套奖,金手套獎,Золотые перчатки,Gants d'or,Guantes de oro,Găng tay vàng
302,열정장갑,Passion Gloves,パッショングローブ,激情手套,激情手套,Перчатки страсти,Gants Passion,Guantes de pasión,Găng tay đam mê
303,시크장갑,Chic gloves,シックな手袋,时尚手套,時尚手套,Стильные перчатки,Gants chics,Guantes elegantes,Găng tay thời trang
304,순수매력장갑,Pure Charm Gloves,ピュアチャームグローブ,纯魅力手套,純魅力手套,Перчатки «Чистое очарование»,Gants Pure Charm,Guantes de encanto puro,Găng tay quyến rũ thuần khiết
305,칼군무장갑,Swordsmanship gloves,剣術用グローブ,剑术手套,劍術手套,Перчатки для фехтования,Gants d'escrime,Guantes de esgrima,Găng tay đấu kiếm
306,미스틱장갑,Mystic Gloves,ミスティックグローブ,神秘手套,神秘手套,Мистические перчатки,Gants mystiques,Guantes místicos,Găng tay thần bí
307,특수안무장갑,Special choreography gloves,特別な振り付け用手袋,特制舞蹈手套,特製舞蹈手套,Специальные хореографические перчатки,Gants de chorégraphie spéciaux,Guantes especiales para coreografía,Găng tay biểu diễn đặc biệt
308,유니크장갑,Unique Gloves,ユニークな手袋,独特的手套,獨特的手套,Уникальные перчатки,Gants uniques,Guantes únicos,Găng tay độc đáo
309,카리스마장갑,Charisma Gloves,カリスマグローブ,魅力手套,魅力手套,Перчатки Харизмы,Gants Charisma,Guantes de carisma,Găng tay Charisma
310,블랙장갑,Black gloves,黒い手袋,黑手套,黑手套,Черные перчатки,Gants noirs,Guantes negros,Găng tay đen
311,레드포인트,Redpoint,レッドポイント,红点,紅點,Редпоинт,Redpoint,Redpoint,Điểm đỏ
312,올라운드장갑,All-around gloves,オールラウンドグローブ,全方位手套,全方位手套,Универсальные перчатки,Gants polyvalents,Guantes multiusos,Găng tay đa năng
313,솔로장갑,Solo gloves,ソログローブ,Solo手套,Solo手套,Перчатки Соло,Gants Solo,Guantes Solo,Găng tay đơn
314,월드장갑,World Gloves,ワールドグローブ,世界手套,世界手套,Мировые перчатки,Gants mondiaux,Guantes del mundo,Găng tay thế giới
315,슈퍼장갑,Super Gloves,スーパーグローブ,超级手套,超級手套,Суперперчатки,Super gants,Súper guantes,Găng tay siêu cấp
316,트리플장갑,Triple Gloves,トリプルグローブ,三重手套,三重手套,Тройные перчатки,Gants triples,Guantes triples,Găng tay ba lớp
317,플래티넘장갑,Platinum Gloves,プラチナグローブ,白金手套,白金手套,Платиновые перчатки,Gants de platine,Guantes de platino,Găng tay bạch kim
318,밀리언장갑,Million Gloves,百万個の手袋,百万只手套,百萬隻手套,Миллион перчаток,Million de gants,Millones de guantes,Hàng triệu chiếc găng tay
319,레전드장갑,Legend Gloves,レジェンドグローブ,传奇手套,傳奇手套,Перчатки «Легенда»,Gants Légende,Guantes de leyenda,Găng tay huyền thoại
320,불멸의장갑,Immortal Gloves,不滅の手袋,不朽之手套,不朽之手套,Бессмертные Перчатки,Gants immortels,Guantes inmortales,Găng tay bất tử
321,타이탄장갑,Titan armor,タイタンアーマー,泰坦装甲,泰坦裝甲,Броня Титана,Armure de Titan,Armadura de Titán,áo giáp Titan
322,파워안무,Power choreography,力強い振り付け,力量编舞,力量編舞,Силовая хореография,Chorégraphie puissante,Coreografía de poder,Vũ đạo mạnh mẽ
323,은하계장갑,Galaxy Armor,ギャラクシーアーマー,银河装甲,銀河裝甲,Галактическая броня,Armure Galactique,Armadura galáctica,Áo giáp thiên hà
324,절대댄스,Absolute Dance,絶対的なダンス,绝对舞蹈,絕對舞蹈,Абсолютный танец,Danse absolue,Danza absoluta,Vũ điệu tuyệt đối
325,운명의장갑,Gloves of Destiny,運命の手袋,命运之手套,命運之手套,Перчатки Судьбы,Gants du Destin,Guantes del Destino,Găng tay định mệnh
326,심판장갑,referee gloves,審判用グローブ,裁判手套,裁判手套,судейские перчатки,gants d'arbitre,guantes de árbitro,găng tay trọng tài
327,태초의장갑,The Gloves of the Beginning,始まりの手袋,最初的手套,最初的手套,Перчатки начала,Les gants du commencement,Los guantes del principio,Những chiếc găng tay của sự khởi đầu
328,제왕장갑,Emperor's Gloves,皇帝の手袋,皇帝的手套,皇帝的手套,Перчатки императора,Gants de l'empereur,Guantes del Emperador,Găng tay Hoàng đế
329,-,-,-,-,-,-,-,-,-
330,-,-,-,-,-,-,-,-,-
331,-,-,-,-,-,-,-,-,-
332,-,-,-,-,-,-,-,-,-
333,-,-,-,-,-,-,-,-,-
334,-,-,-,-,-,-,-,-,-
335,-,-,-,-,-,-,-,-,-
336,-,-,-,-,-,-,-,-,-
337,헤어밴드,hairband,ヘアバンド,发带,髮帶,резинка для волос,bandeau,diadema,băng đô cài tóc
338,데뷔리본,Debut Ribbon,デビューリボン,首秀缎带,首秀緞帶,Дебютная лента,Ruban de début,Cinta de debut,Ruy băng ra mắt
339,머리끈,hair tie,ヘアゴム,发圈,髮圈,резинка для волос,élastique à cheveux,goma para el pelo,dây buộc tóc
340,주니어리본,Junior Ribbon,ジュニアリボン,初级丝带,初級絲帶,Младшая лента,Ruban Junior,Cinta Junior,Ruy băng Thiếu niên
341,루키리본,Rookie Ribbon,ルーキーリボン,新秀勋章,新秀勳章,Лента новичка,Ruban de recrue,Cinta de novato,Ruy băng tân binh
342,포인트리본,Point ribbon,ポイントリボン,尖带,尖帶,Угловая лента,Ruban à pointe,Cinta de punto,Ruy băng nhọn
343,화려한리본,fancy ribbon,ファンシーリボン,花式丝带,花式絲帶,нарядная лента,ruban fantaisie,cinta elegante,ruy băng trang trí
344,백업리본,Backup Ribbon,バックアップリボン,备份功能区,備份功能區,Резервная лента,Ruban de sauvegarde,Cinta de respaldo,Ruy băng dự phòng
345,메인리본,Main ribbon,メインリボン,主丝带,主絲帶,Главная лента,Ruban principal,Cinta principal,Dải ruy băng chính
346,센터장식,Center decoration,中央の装飾,中心装饰,中心裝飾,Центральное украшение,Décoration centrale,Decoración central,Trang trí trung tâm
347,베스트리본,Best Ribbon,ベストリボン,最佳丝带,最佳絲帶,Лучшая лента,Meilleur ruban,Mejor cinta,Ruy băng đẹp nhất
348,글로벌리,Globally,世界的に,全球,全球,В глобальном масштабе,À l'échelle mondiale,A nivel mundial,Trên toàn cầu
349,골드장식,Gold decoration,金色の装飾,金色装饰,金色裝飾,Золотое украшение,décoration dorée,Decoración dorada,Trang trí bằng vàng
350,열정리본,Passion Ribbon,パッションリボン,热情丝带,熱情絲帶,Лента страсти,Ruban de la passion,Cinta de la pasión,Dải ruy băng đam mê
351,시크리본,Chic Ribbon,シックなリボン,时尚丝带,時尚絲帶,Шикарная лента,Ruban chic,Cinta elegante,Ruy băng thời trang
352,순수코디,Pure Coordi,ピュアコーディ,纯协调,純協調,Чистые координаты,Pure Coordi,Pure Coordi,Phối đồ thuần khiết
353,퍼펙트리본,Perfect Ribbon,パーフェクトリボン,完美丝带,完美絲帶,Идеальная лента,Ruban parfait,Cinta perfecta,Ruy băng hoàn hảo
354,미스틱리본,Mystic Ribbon,ミスティックリボン,神秘丝带,神秘絲帶,Мистическая лента,Ruban mystique,Cinta mística,Dải ruy băng huyền bí
355,특수장식,Special decoration,特別な装飾,特殊装饰,特殊裝飾,Особое украшение,Décoration spéciale,Decoración especial,Trang trí đặc biệt
356,유니크리본,Unique Ribbon,ユニークなリボン,独特的丝带,獨特的絲帶,Уникальная лента,Ruban unique,Cinta única,Ruy băng độc đáo
357,카리스마리본,Charisma Maribon,カリスマ・マリボン,魅力马里邦,魅力馬裡邦,Харизма Марибон,Charisme Maribon,Carisma Maribon,Charisma Maribon
358,블랙리본,Black ribbon,黒いリボン,黑丝带,黑色絲帶,Черная лента,Ruban noir,Cinta negra,Ruy băng đen
359,레드포인트,Redpoint,レッドポイント,红点,紅點,Редпоинт,Redpoint,Redpoint,Điểm đỏ
360,올라운드리,All-round,オールラウンド,全能,全能,Всесторонне развитый,Polyvalent,Todoterreno,Đa năng
361,솔로리본,Solo Ribbon,ソロリボン,独奏丝带,獨奏絲帶,Индивидуальная лента,Ruban solo,Cinta solitaria,Ruy băng đơn
362,월드리본,World Ribbon,ワールドリボン,世界丝带,世界絲帶,Всемирная лента,Ruban mondial,Cinta Mundial,Ruy băng Thế giới
363,슈퍼리본,Super Ribbon,スーパーリボン,超级丝带,超絲帶,Суперлента,Super ruban,Súper Cinta,Ruy băng siêu cấp
364,트리플리본,Triple Ribbon,トリプルリボン,三重丝带,三重絲帶,Тройная лента,Ruban triple,Cinta triple,Ruy băng ba lần
365,플래티넘,Platinum,白金,铂,鉑,Платина,Platine,Platino,Bạch kim
366,밀리언리본,Million Ribbon,ミリオンリボン,百万丝带,百萬絲帶,Миллионная лента,Million Ribbon,Cinta de un millón,Triệu Ruy Băng
367,레전드리본,Legendary Reborn,伝説の復活,传奇重生,傳奇重生,Легендарное Возрождение,Légendaire renaît,Legendario renacido,Huyền Thoại Tái Sinh
368,불멸의리,Immortal Loyalty,不滅の忠誠,永恒的忠诚,不朽的忠誠,Бессмертная Преданность,Loyauté immortelle,Lealtad inmortal,Lòng trung thành bất diệt
369,타이탄리본,Titan Ribbon,タイタンリボン,泰坦丝带,泰坦絲帶,Лента Титана,Ruban Titan,Cinta Titán,Dải ruy băng Titan
370,파워장식,Power decoration,パワーデコレーション,权力装饰,權力裝飾,Силовое украшение,Décoration électrique,Decoración poderosa,Trang trí năng lượng
371,은하계리본,Galaxy Ribbon,ギャラクシーリボン,银河丝带,銀河絲帶,Галаксиальная лента,Ruban Galaxie,Cinta galáctica,Dải ruy băng thiên hà
372,절대장식,Absolute ornament,絶対的な装飾,绝对装饰,絕對裝飾,Абсолютное украшение,Ornement absolu,Adorno absoluto,Tuyệt phẩm trang trí
373,운명의리,The loyalty of fate,運命の忠誠心,命运的忠诚,命運的忠誠,Верность судьбы,La loyauté du destin,La lealtad del destino,Lòng trung thành của số phận
374,심판리본,referee ribbon,審判リボン,裁判丝带,裁判絲帶,судейская лента,ruban d'arbitre,cinta de árbitro,ruy băng trọng tài
375,태초의리,Primordial Loyalty,根源的な忠誠心,原始忠诚,原始忠誠,Первобытная Верность,Loyauté primordiale,Lealtad primordial,Lòng trung thành nguyên thủy
376,제왕리본,Imperial Ribbon,帝国リボン,帝国绶带,帝國瑤帶,Имперская лента,Ruban impérial,Cinta Imperial,Ruy băng Hoàng gia
377,-,-,-,-,-,-,-,-,-
378,-,-,-,-,-,-,-,-,-
379,-,-,-,-,-,-,-,-,-
380,-,-,-,-,-,-,-,-,-
381,-,-,-,-,-,-,-,-,-
382,-,-,-,-,-,-,-,-,-
383,-,-,-,-,-,-,-,-,-
384,-,-,-,-,-,-,-,-,-
385,연습화,practice shoes,練習用シューズ,训练鞋,訓練鞋,тренировочная обувь,chaussures d'entraînement,zapatos de entrenamiento,giày tập luyện
386,데뷔슈즈,Debut shoes,デビューシューズ,首发鞋,先發鞋,Дебютные туфли,Chaussures de début,Zapatos de debut,Giày ra mắt
387,스니커즈,Sneakers,スニーカー,运动鞋,運動鞋,Кроссовки,Baskets,Zapatillas,Giày thể thao
388,주니어화,Junior shoes,ジュニアシューズ,儿童鞋,兒童鞋,Детская обувь,Chaussures junior,Zapatos para niños,Giày trẻ em
389,루키운동화,Rookie sneakers,ルーキースニーカー,新秀运动鞋,新秀運動鞋,Кроссовки новичка,Baskets de recrue,Zapatillas de novato,Giày thể thao tân binh
390,편한신발,Comfortable shoes,履き心地の良い靴,舒适的鞋子,舒適的鞋子,Удобная обувь,Chaussures confortables,Zapatos cómodos,Giày thoải mái
391,스포트힐,Sporthill,スポーツヒル,斯波特希尔,斯波特希爾,Спортхилл,Sporthill,Sporthill,Sporthill
392,백업부츠,backup boots,バックアップブート,备份启动,備份啟動,резервные загрузки,bottes de secours,arranques de respaldo,khởi động dự phòng
393,메인슈즈,Main shoes,メインシューズ,主鞋,主鞋,Основная обувь,Chaussures principales,Zapatos principales,Giày chính
394,센터힐,Center Hill,センターヒル,中心山,中心山,Центр Хилл,Colline du Centre,Colina central,Đồi Trung Tâm
395,베스트슈즈,Best shoes,最高の靴,最好的鞋子,最好的鞋子,Лучшая обувь,Meilleures chaussures,Los mejores zapatos,Giày tốt nhất
396,글로벌슈즈,Global Shoes,グローバルシューズ,全球鞋业,全球鞋業,Глобальная обувь,Chaussures mondiales,Zapatos globales,Giày toàn cầu
397,골드부츠,Gold boots,ゴールドブーツ,金靴,金靴,Золотые сапоги,Bottes dorées,Botas doradas,Giày bốt vàng
398,열정슈즈,Passion Shoes,パッションシューズ,激情鞋,激情鞋,Обувь Passion,Chaussures Passion,Zapatos de pasión,Giày Passion
399,시크부츠,Chic boots,シックなブーツ,时尚靴子,時尚靴子,Стильные сапоги,Bottes chics,Botas elegantes,Những đôi bốt sành điệu
400,순수슈즈,Pure Shoes,ピュアシューズ,纯鞋,純鞋,Чистая обувь,Chaussures Pure,Zapatos puros,Giày Pure
401,퍼펙트화,Perfection,完璧,完美,完美,Совершенство,Perfection,Perfección,Sự hoàn hảo
402,미스틱부츠,Mystic Boots,ミスティックブーツ,神秘之靴,神秘之靴,Мистические ботинки,Bottes mystiques,Botas místicas,Giày thần bí
403,특수슈즈,Special shoes,特別な靴,特制鞋,特製鞋,Особая обувь,Chaussures spéciales,Zapatos especiales,Giày đặc biệt
404,유니크화,Unique,個性的,独特的,獨特的,Уникальный,Unique,Único,Độc nhất
405,카리스마슈,Charisma Shu,カリスマシュウ,魅力舒,魅力舒,Харизма Шу,Charisme Shu,carisma shu,Shu thu hút
406,블랙힐,Black Hill,ブラックヒル,黑山,蒙特內哥羅,Блэк-Хилл,Colline Noire,Colina Negra,Đồi Đen
407,레드슈즈,Red Shoes,赤い靴,红鞋,紅鞋,Красные туфли,Chaussures rouges,Zapatos rojos,Giày đỏ
408,올라운드화,All-around shoes,万能シューズ,全方位鞋,全方位鞋,Универсальная обувь,Chaussures polyvalentes,Zapatos versátiles,Giày đa năng
409,솔로힐,Solo Hill,ソロヒル,索罗山,索羅山,Соло Хилл,Colline solitaire,Colina Solitaria,Đồi Solo
410,월드슈즈,World Shoes,ワールドシューズ,世界鞋业,世界鞋業,Мировая обувь,Chaussures du monde,Zapatos del mundo,Giày Thế giới
411,슈퍼스피드,Super Speed,超高速,超速,超速,Сверхскорость,Super vitesse,Súper velocidad,Siêu tốc độ
412,트리플슈즈,Triple Shoes,トリプルシューズ,三重鞋,三重鞋,Тройные ботинки,Chaussures triples,Zapatos triples,Giày ba tầng
413,플래티넘슈즈,Platinum Shoes,プラチナシューズ,铂金鞋,白金鞋,Платиновые туфли,Chaussures en platine,Zapatos de platino,Giày bạch kim
414,밀리언슈즈,Million Shoes,ミリオンシューズ,百万双鞋,百萬雙鞋,Миллион туфель,Million de chaussures,Un millón de zapatos,Triệu đôi giày
415,레전드슈즈,Legend Shoes,レジェンドシューズ,传奇鞋,傳奇鞋,Легендарные кроссовки,Chaussures Légende,Zapatos Legend,Giày huyền thoại
416,불멸의화,Immortal Flower,不滅の花,不朽之花,不朽之花,Бессмертный Цветок,Fleur immortelle,Flor inmortal,Hoa Bất Tử
417,타이탄슈즈,Titan Shoes,タイタンシューズ,泰坦鞋业,泰坦鞋業,Обувь Титана,Chaussures Titan,Zapatos Titan,Giày Titan
418,파워점프,Power jump,パワージャンプ,爆发力跳跃,爆發力跳躍,Прыжок с ускорением,Saut en puissance,Salto de potencia,Nhảy mạnh
419,은하계화,Galaxy,銀河,星系,星系,Галактика,Galaxie,Galaxia,Thiên hà
420,절대스피드,Absolute Speed,絶対速度,绝对速度,絕對速度,Абсолютная скорость,Vitesse absolue,Velocidad absoluta,Tốc độ tuyệt đối
421,운명의슈즈,Shoes of Destiny,運命の靴,命运之鞋,命運之鞋,Обувь Судьбы,Chaussures du destin,Zapatos del destino,Đôi giày định mệnh
422,심판힐슈즈,referee heel shoes,レフェリーヒールシューズ,裁判鞋跟,裁判鞋跟,туфли на каблуках для судей,chaussures à talons d'arbitre,zapatos de tacón de árbitro,giày trọng tài cao gót
423,태초의화,The primordial flower,原始の花,原始之花,原始之花,Первобытный цветок,La fleur primordiale,La flor primordial,Bông hoa nguyên thủy
424,제왕슈즈,Emperor Shoes,皇帝の靴,皇帝鞋,皇帝鞋,Императорские туфли,Chaussures de l'Empereur,Zapatos de emperador,Giày Hoàng Đế
425,-,-,-,-,-,-,-,-,-
426,-,-,-,-,-,-,-,-,-
427,-,-,-,-,-,-,-,-,-
428,-,-,-,-,-,-,-,-,-
429,-,-,-,-,-,-,-,-,-
430,-,-,-,-,-,-,-,-,-
431,-,-,-,-,-,-,-,-,-
432,-,-,-,-,-,-,-,-,-
